SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"10 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,10,THIRD AVENUE,HEAVITREE,EXETER
"11 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,11,THIRD AVENUE,HEAVITREE,EXETER
"12 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,12,THIRD AVENUE,HEAVITREE,EXETER
"13 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,13,THIRD AVENUE,HEAVITREE,EXETER
"14 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,14,THIRD AVENUE,HEAVITREE,EXETER
"15 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,15,THIRD AVENUE,HEAVITREE,EXETER
"16 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,16,THIRD AVENUE,HEAVITREE,EXETER
"17 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,17,THIRD AVENUE,HEAVITREE,EXETER
"18 THIRD AVENUE, HEAVITREE, EXETER, EX1 2PJ",,,18,THIRD AVENUE,HEAVITREE,EXETER
"2 THOMPSON ROAD, EXETER, EX1 2UB",,,2,THOMPSON ROAD,,EXETER
"4 THOMPSON ROAD, EXETER, EX1 2UB",,,4,THOMPSON ROAD,,EXETER
"6 THOMPSON ROAD, EXETER, EX1 2UB",,,6,THOMPSON ROAD,,EXETER
"8 THOMPSON ROAD, EXETER, EX1 2UB",,,8,THOMPSON ROAD,,EXETER
"10 THOMPSON ROAD, EXETER, EX1 2UB",,,10,THOMPSON ROAD,,EXETER
"12 THOMPSON ROAD, EXETER, EX1 2UB",,,12,THOMPSON ROAD,,EXETER
"14 THOMPSON ROAD, EXETER, EX1 2UB",,,14,THOMPSON ROAD,,EXETER
"16 THOMPSON ROAD, EXETER, EX1 2UB",,,16,THOMPSON ROAD,,EXETER
"18 THOMPSON ROAD, EXETER, EX1 2UB",,,18,THOMPSON ROAD,,EXETER
"20 THOMPSON ROAD, EXETER, EX1 2UB",,,20,THOMPSON ROAD,,EXETER
"22 THOMPSON ROAD, EXETER, EX1 2UB",,,22,THOMPSON ROAD,,EXETER
"24 THOMPSON ROAD, EXETER, EX1 2UB",,,24,THOMPSON ROAD,,EXETER
"5 THURLOW ROAD, EXETER, EX4 7AA",,,5,THURLOW ROAD,,EXETER
"6 THURLOW ROAD, EXETER, EX4 7AA",,,6,THURLOW ROAD,,EXETER
"7 THURLOW ROAD, EXETER, EX4 7AA",,,7,THURLOW ROAD,,EXETER
"1 TINTAGEL CLOSE, EXETER, EX4 9EH",,,1,TINTAGEL CLOSE,,EXETER
"2 TINTAGEL CLOSE, EXETER, EX4 9EH",,,2,TINTAGEL CLOSE,,EXETER
"3 TINTAGEL CLOSE, EXETER, EX4 9EH",,,3,TINTAGEL CLOSE,,EXETER
"4 TINTAGEL CLOSE, EXETER, EX4 9EH",,,4,TINTAGEL CLOSE,,EXETER
"5 TINTAGEL CLOSE, EXETER, EX4 9EH",,,5,TINTAGEL CLOSE,,EXETER
"6 TINTAGEL CLOSE, EXETER, EX4 9EH",,,6,TINTAGEL CLOSE,,EXETER
"7 TINTAGEL CLOSE, EXETER, EX4 9EH",,,7,TINTAGEL CLOSE,,EXETER
"8 TINTAGEL CLOSE, EXETER, EX4 9EH",,,8,TINTAGEL CLOSE,,EXETER
"9A TINTAGEL CLOSE, EXETER, EX4 9EH",,,9A,TINTAGEL CLOSE,,EXETER
"9 TINTAGEL CLOSE, EXETER, EX4 9EH",,,9,TINTAGEL CLOSE,,EXETER
"10A TINTAGEL CLOSE, EXETER, EX4 9EH",,,10A,TINTAGEL CLOSE,,EXETER
"10 TINTAGEL CLOSE, EXETER, EX4 9EH",,,10,TINTAGEL CLOSE,,EXETER
"12 TINTAGEL CLOSE, EXETER, EX4 9EH",,,12,TINTAGEL CLOSE,,EXETER
"13 TINTAGEL CLOSE, EXETER, EX4 9EH",,,13,TINTAGEL CLOSE,,EXETER
"14 TINTAGEL CLOSE, EXETER, EX4 9EH",,,14,TINTAGEL CLOSE,,EXETER
"15 TINTAGEL CLOSE, EXETER, EX4 9EH",,,15,TINTAGEL CLOSE,,EXETER
"16 TINTAGEL CLOSE, EXETER, EX4 9EH",,,16,TINTAGEL CLOSE,,EXETER
"183 TOPSHAM ROAD, EXETER, EX2 6AN",,,183,TOPSHAM ROAD,,EXETER
"185 TOPSHAM ROAD, EXETER, EX2 6AN",,,185,TOPSHAM ROAD,,EXETER
"187 TOPSHAM ROAD, EXETER, EX2 6AN",,,187,TOPSHAM ROAD,,EXETER
"189A TOPSHAM ROAD, EXETER, EX2 6AN",,,189A,TOPSHAM ROAD,,EXETER
"189B TOPSHAM ROAD, EXETER, EX2 6AN",,,189B,TOPSHAM ROAD,,EXETER
"FLAT 1, 189 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 1,,189,TOPSHAM ROAD,,EXETER
"FLAT 2, 189 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 2,,189,TOPSHAM ROAD,,EXETER
"FLAT 3, 189 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 3,,189,TOPSHAM ROAD,,EXETER
"FLAT 2, 191 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 2,,191,TOPSHAM ROAD,,EXETER
"FLAT 3, 191 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 3,,191,TOPSHAM ROAD,,EXETER
"FLAT 1, 191 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 1,,191,TOPSHAM ROAD,,EXETER
"193A TOPSHAM ROAD, EXETER, EX2 6AN",,,193A,TOPSHAM ROAD,,EXETER
"193 TOPSHAM ROAD, EXETER, EX2 6AN",,,193,TOPSHAM ROAD,,EXETER
"195 TOPSHAM ROAD, EXETER, EX2 6AN",,,195,TOPSHAM ROAD,,EXETER
"197 TOPSHAM ROAD, EXETER, EX2 6AN",,,197,TOPSHAM ROAD,,EXETER
"199 TOPSHAM ROAD, EXETER, EX2 6AN",,,199,TOPSHAM ROAD,,EXETER
"201 TOPSHAM ROAD, EXETER, EX2 6AN",,,201,TOPSHAM ROAD,,EXETER
"203 TOPSHAM ROAD, EXETER, EX2 6AN",,,203,TOPSHAM ROAD,,EXETER
"FLAT 5, 203 TOPSHAM ROAD, EXETER, EX2 6AN",FLAT 5,,203,TOPSHAM ROAD,,EXETER
"FLAT A, 203A TOPSHAM ROAD, EXETER, EX2 6AN",FLAT A,,203A,TOPSHAM ROAD,,EXETER
"FLAT B, 203A TOPSHAM ROAD, EXETER, EX2 6AN",FLAT B,,203A,TOPSHAM ROAD,,EXETER
"FLAT C, 203A TOPSHAM ROAD, EXETER, EX2 6AN",FLAT C,,203A,TOPSHAM ROAD,,EXETER
"FLAT D, 203A TOPSHAM ROAD, EXETER, EX2 6AN",FLAT D,,203A,TOPSHAM ROAD,,EXETER
"207 TOPSHAM ROAD, EXETER, EX2 6EN",,,207,TOPSHAM ROAD,,EXETER
"FLAT 2, 211 TOPSHAM ROAD, EXETER, EX2 6EN",FLAT 2,,211,TOPSHAM ROAD,,EXETER
"215 TOPSHAM ROAD, EXETER, EX2 6EN",,,215,TOPSHAM ROAD,,EXETER
"25 UPLANDS DRIVE, EXETER, EX4 7JZ",,,25,UPLANDS DRIVE,,EXETER
"26 UPLANDS DRIVE, EXETER, EX4 7JZ",,,26,UPLANDS DRIVE,,EXETER
"27 UPLANDS DRIVE, EXETER, EX4 7JZ",,,27,UPLANDS DRIVE,,EXETER
"28 UPLANDS DRIVE, EXETER, EX4 7JZ",,,28,UPLANDS DRIVE,,EXETER
"29 UPLANDS DRIVE, EXETER, EX4 7JZ",,,29,UPLANDS DRIVE,,EXETER
"30 UPLANDS DRIVE, EXETER, EX4 7JZ",,,30,UPLANDS DRIVE,,EXETER
"31 UPLANDS DRIVE, EXETER, EX4 7JZ",,,31,UPLANDS DRIVE,,EXETER
"32 UPLANDS DRIVE, EXETER, EX4 7JZ",,,32,UPLANDS DRIVE,,EXETER
"33 UPLANDS DRIVE, EXETER, EX4 7JZ",,,33,UPLANDS DRIVE,,EXETER
"34 UPLANDS DRIVE, EXETER, EX4 7JZ",,,34,UPLANDS DRIVE,,EXETER
"35 UPLANDS DRIVE, EXETER, EX4 7JZ",,,35,UPLANDS DRIVE,,EXETER
"2 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,2,VICTORIA PARK ROAD,,EXETER
"4 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,4,VICTORIA PARK ROAD,,EXETER
"6 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,6,VICTORIA PARK ROAD,,EXETER
"8 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,8,VICTORIA PARK ROAD,,EXETER
"10 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,10,VICTORIA PARK ROAD,,EXETER
"12 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,12,VICTORIA PARK ROAD,,EXETER
"14 VICTORIA PARK ROAD, EXETER, EX2 4NT",,,14,VICTORIA PARK ROAD,,EXETER
"1 WALNUT ROAD, EXETER, EX2 6HL",,,1,WALNUT ROAD,,EXETER
"2 WALNUT ROAD, EXETER, EX2 6HL",,,2,WALNUT ROAD,,EXETER
"3 WALNUT ROAD, EXETER, EX2 6HL",,,3,WALNUT ROAD,,EXETER
"4 WALNUT ROAD, EXETER, EX2 6HL",,,4,WALNUT ROAD,,EXETER
"1 WEST TERRACE, EXETER, EX1 2TF",,,1,WEST TERRACE,,EXETER
"2 WEST TERRACE, EXETER, EX1 2TF",,,2,WEST TERRACE,,EXETER
"3 WEST TERRACE, EXETER, EX1 2TF",,,3,WEST TERRACE,,EXETER
"4 WEST TERRACE, EXETER, EX1 2TF",,,4,WEST TERRACE,,EXETER
"5 WEST TERRACE, EXETER, EX1 2TF",,,5,WEST TERRACE,,EXETER
"6 WEST TERRACE, EXETER, EX1 2TF",,,6,WEST TERRACE,,EXETER
"7 WEST TERRACE, EXETER, EX1 2TF",,,7,WEST TERRACE,,EXETER
"8 WEST TERRACE, EXETER, EX1 2TF",,,8,WEST TERRACE,,EXETER
"9 WEST TERRACE, EXETER, EX1 2TF",,,9,WEST TERRACE,,EXETER
"10 WEST TERRACE, EXETER, EX1 2TF",,,10,WEST TERRACE,,EXETER
"11 WEST TERRACE, EXETER, EX1 2TF",,,11,WEST TERRACE,,EXETER
"12 WEST TERRACE, EXETER, EX1 2TF",,,12,WEST TERRACE,,EXETER
"1 WIDECOMBE WAY, EXETER, EX4 5BZ",,,1,WIDECOMBE WAY,,EXETER
"3 WIDECOMBE WAY, EXETER, EX4 5BZ",,,3,WIDECOMBE WAY,,EXETER
"5 WIDECOMBE WAY, EXETER, EX4 5BZ",,,5,WIDECOMBE WAY,,EXETER
"6 WIDECOMBE WAY, EXETER, EX4 5BZ",,,6,WIDECOMBE WAY,,EXETER
"7 WIDECOMBE WAY, EXETER, EX4 5BZ",,,7,WIDECOMBE WAY,,EXETER
"8 WIDECOMBE WAY, EXETER, EX4 5BZ",,,8,WIDECOMBE WAY,,EXETER
"9 WIDECOMBE WAY, EXETER, EX4 5BZ",,,9,WIDECOMBE WAY,,EXETER
"10 WIDECOMBE WAY, EXETER, EX4 5BZ",,,10,WIDECOMBE WAY,,EXETER
"11 WIDECOMBE WAY, EXETER, EX4 5BZ",,,11,WIDECOMBE WAY,,EXETER
"13 WIDECOMBE WAY, EXETER, EX4 5BZ",,,13,WIDECOMBE WAY,,EXETER
"14 WIDECOMBE WAY, EXETER, EX4 5BZ",,,14,WIDECOMBE WAY,,EXETER
"15 WIDECOMBE WAY, EXETER, EX4 5BZ",,,15,WIDECOMBE WAY,,EXETER
"16 WIDECOMBE WAY, EXETER, EX4 5BZ",,,16,WIDECOMBE WAY,,EXETER
"17 WIDECOMBE WAY, EXETER, EX4 5BZ",,,17,WIDECOMBE WAY,,EXETER
"18 WIDECOMBE WAY, EXETER, EX4 5BZ",,,18,WIDECOMBE WAY,,EXETER
"19 WIDECOMBE WAY, EXETER, EX4 5BZ",,,19,WIDECOMBE WAY,,EXETER
"20 WIDECOMBE WAY, EXETER, EX4 5BZ",,,20,WIDECOMBE WAY,,EXETER
"21 WIDECOMBE WAY, EXETER, EX4 5BZ",,,21,WIDECOMBE WAY,,EXETER
"22 WIDECOMBE WAY, EXETER, EX4 5BZ",,,22,WIDECOMBE WAY,,EXETER
"23 WIDECOMBE WAY, EXETER, EX4 5BZ",,,23,WIDECOMBE WAY,,EXETER
"24 WIDECOMBE WAY, EXETER, EX4 5BZ",,,24,WIDECOMBE WAY,,EXETER
"25 WIDECOMBE WAY, EXETER, EX4 5BZ",,,25,WIDECOMBE WAY,,EXETER
"27 WIDECOMBE WAY, EXETER, EX4 5BZ",,,27,WIDECOMBE WAY,,EXETER
"29 WIDECOMBE WAY, EXETER, EX4 5BZ",,,29,WIDECOMBE WAY,,EXETER
"31 WIDECOMBE WAY, EXETER, EX4 5BZ",,,31,WIDECOMBE WAY,,EXETER
"1 WYKES ROAD, EXETER, EX1 2UG",,,1,WYKES ROAD,,EXETER
"2 WYKES ROAD, EXETER, EX1 2UG",,,2,WYKES ROAD,,EXETER
"3 WYKES ROAD, EXETER, EX1 2UG",,,3,WYKES ROAD,,EXETER
"4 WYKES ROAD, EXETER, EX1 2UG",,,4,WYKES ROAD,,EXETER
"5 WYKES ROAD, EXETER, EX1 2UG",,,5,WYKES ROAD,,EXETER
"6 WYKES ROAD, EXETER, EX1 2UG",,,6,WYKES ROAD,,EXETER
"7 WYKES ROAD, EXETER, EX1 2UG",,,7,WYKES ROAD,,EXETER
"8 WYKES ROAD, EXETER, EX1 2UG",,,8,WYKES ROAD,,EXETER
"9 WYKES ROAD, EXETER, EX1 2UG",,,9,WYKES ROAD,,EXETER
"10 WYKES ROAD, EXETER, EX1 2UG",,,10,WYKES ROAD,,EXETER
"11 WYKES ROAD, EXETER, EX1 2UG",,,11,WYKES ROAD,,EXETER
"12 WYKES ROAD, EXETER, EX1 2UG",,,12,WYKES ROAD,,EXETER
"13 WYKES ROAD, EXETER, EX1 2UG",,,13,WYKES ROAD,,EXETER
"14 WYKES ROAD, EXETER, EX1 2UG",,,14,WYKES ROAD,,EXETER
"15 WYKES ROAD, EXETER, EX1 2UG",,,15,WYKES ROAD,,EXETER
"16 WYKES ROAD, EXETER, EX1 2UG",,,16,WYKES ROAD,,EXETER
"17 WYKES ROAD, EXETER, EX1 2UG",,,17,WYKES ROAD,,EXETER
"18 WYKES ROAD, EXETER, EX1 2UG",,,18,WYKES ROAD,,EXETER
"19 WYKES ROAD, EXETER, EX1 2UG",,,19,WYKES ROAD,,EXETER
"20 WYKES ROAD, EXETER, EX1 2UG",,,20,WYKES ROAD,,EXETER
"21 WYKES ROAD, EXETER, EX1 2UG",,,21,WYKES ROAD,,EXETER
"22 WYKES ROAD, EXETER, EX1 2UG",,,22,WYKES ROAD,,EXETER
"23 WYKES ROAD, EXETER, EX1 2UG",,,23,WYKES ROAD,,EXETER
"24 WYKES ROAD, EXETER, EX1 2UG",,,24,WYKES ROAD,,EXETER
"25 WYKES ROAD, EXETER, EX1 2UG",,,25,WYKES ROAD,,EXETER
"26 WYKES ROAD, EXETER, EX1 2UG",,,26,WYKES ROAD,,EXETER
"27 WYKES ROAD, EXETER, EX1 2UG",,,27,WYKES ROAD,,EXETER
"28 WYKES ROAD, EXETER, EX1 2UG",,,28,WYKES ROAD,,EXETER
"29 WYKES ROAD, EXETER, EX1 2UG",,,29,WYKES ROAD,,EXETER
"30 WYKES ROAD, EXETER, EX1 2UG",,,30,WYKES ROAD,,EXETER
"31 WYKES ROAD, EXETER, EX1 2UG",,,31,WYKES ROAD,,EXETER
"32 WYKES ROAD, EXETER, EX1 2UG",,,32,WYKES ROAD,,EXETER
"34 WYKES ROAD, EXETER, EX1 2UG",,,34,WYKES ROAD,,EXETER
"36 WYKES ROAD, EXETER, EX1 2UG",,,36,WYKES ROAD,,EXETER
"38 WYKES ROAD, EXETER, EX1 2UG",,,38,WYKES ROAD,,EXETER
"40 WYKES ROAD, EXETER, EX1 2UG",,,40,WYKES ROAD,,EXETER
"42 WYKES ROAD, EXETER, EX1 2UG",,,42,WYKES ROAD,,EXETER
"44 WYKES ROAD, EXETER, EX1 2UG",,,44,WYKES ROAD,,EXETER
"46 WYKES ROAD, EXETER, EX1 2UG",,,46,WYKES ROAD,,EXETER
"48A WYKES ROAD, EXETER, EX1 2UG",,,48A,WYKES ROAD,,EXETER
"48 WYKES ROAD, EXETER, EX1 2UG",,,48,WYKES ROAD,,EXETER
"50A WYKES ROAD, EXETER, EX1 2UG",,,50A,WYKES ROAD,,EXETER
"50 WYKES ROAD, EXETER, EX1 2UG",,,50,WYKES ROAD,,EXETER
"52 WYKES ROAD, EXETER, EX1 2UG",,,52,WYKES ROAD,,EXETER
"54 WYKES ROAD, EXETER, EX1 2UG",,,54,WYKES ROAD,,EXETER
"56 WYKES ROAD, EXETER, EX1 2UG",,,56,WYKES ROAD,,EXETER
"58 WYKES ROAD, EXETER, EX1 2UG",,,58,WYKES ROAD,,EXETER
"60 WYKES ROAD, EXETER, EX1 2UG",,,60,WYKES ROAD,,EXETER
"62 WYKES ROAD, EXETER, EX1 2UD",,,62,WYKES ROAD,,EXETER
"64 WYKES ROAD, EXETER, EX1 2UD",,,64,WYKES ROAD,,EXETER
"66 WYKES ROAD, EXETER, EX1 2UD",,,66,WYKES ROAD,,EXETER
"68 WYKES ROAD, EXETER, EX1 2UD",,,68,WYKES ROAD,,EXETER
"70 WYKES ROAD, EXETER, EX1 2UD",,,70,WYKES ROAD,,EXETER
"72 WYKES ROAD, EXETER, EX1 2UD",,,72,WYKES ROAD,,EXETER
"74 WYKES ROAD, EXETER, EX1 2UD",,,74,WYKES ROAD,,EXETER
"76 WYKES ROAD, EXETER, EX1 2UD",,,76,WYKES ROAD,,EXETER
"78 WYKES ROAD, EXETER, EX1 2UD",,,78,WYKES ROAD,,EXETER
"80 WYKES ROAD, EXETER, EX1 2UD",,,80,WYKES ROAD,,EXETER
"82 WYKES ROAD, EXETER, EX1 2UD",,,82,WYKES ROAD,,EXETER
"84 WYKES ROAD, EXETER, EX1 2UD",,,84,WYKES ROAD,,EXETER
"86 WYKES ROAD, EXETER, EX1 2UD",,,86,WYKES ROAD,,EXETER
"88 WYKES ROAD, EXETER, EX1 2UD",,,88,WYKES ROAD,,EXETER
"90 WYKES ROAD, EXETER, EX1 2UD",,,90,WYKES ROAD,,EXETER
"92 WYKES ROAD, EXETER, EX1 2UD",,,92,WYKES ROAD,,EXETER
"94 WYKES ROAD, EXETER, EX1 2UD",,,94,WYKES ROAD,,EXETER
"96 WYKES ROAD, EXETER, EX1 2UD",,,96,WYKES ROAD,,EXETER
"98 WYKES ROAD, EXETER, EX1 2UD",,,98,WYKES ROAD,,EXETER
"100 WYKES ROAD, EXETER, EX1 2UD",,,100,WYKES ROAD,,EXETER
"1 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,1,WYNDHAM AVENUE,,EXETER
"2 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,2,WYNDHAM AVENUE,,EXETER
"3 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,3,WYNDHAM AVENUE,,EXETER
"4 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,4,WYNDHAM AVENUE,,EXETER
"5 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,5,WYNDHAM AVENUE,,EXETER
"6 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,6,WYNDHAM AVENUE,,EXETER
"7 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,7,WYNDHAM AVENUE,,EXETER
"8 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,8,WYNDHAM AVENUE,,EXETER
"9 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,9,WYNDHAM AVENUE,,EXETER
"10 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,10,WYNDHAM AVENUE,,EXETER
"11 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,11,WYNDHAM AVENUE,,EXETER
"12 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,12,WYNDHAM AVENUE,,EXETER
"13 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,13,WYNDHAM AVENUE,,EXETER
"14 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,14,WYNDHAM AVENUE,,EXETER
"15 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,15,WYNDHAM AVENUE,,EXETER
"16 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,16,WYNDHAM AVENUE,,EXETER
"17 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,17,WYNDHAM AVENUE,,EXETER
"18 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,18,WYNDHAM AVENUE,,EXETER
"19 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,19,WYNDHAM AVENUE,,EXETER
"20 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,20,WYNDHAM AVENUE,,EXETER
"21 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,21,WYNDHAM AVENUE,,EXETER
"22 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,22,WYNDHAM AVENUE,,EXETER
"23 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,23,WYNDHAM AVENUE,,EXETER
"24 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,24,WYNDHAM AVENUE,,EXETER
"25 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,25,WYNDHAM AVENUE,,EXETER
"26 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,26,WYNDHAM AVENUE,,EXETER
"27 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,27,WYNDHAM AVENUE,,EXETER
"28 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,28,WYNDHAM AVENUE,,EXETER
"29 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,29,WYNDHAM AVENUE,,EXETER
"30 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,30,WYNDHAM AVENUE,,EXETER
"31 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,31,WYNDHAM AVENUE,,EXETER
"33 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,33,WYNDHAM AVENUE,,EXETER
"35 WYNDHAM AVENUE, EXETER, EX1 2PQ",,,35,WYNDHAM AVENUE,,EXETER
"1A WYNFORD ROAD, EXETER, EX4 7ER",,,1A,WYNFORD ROAD,,EXETER
"1B WYNFORD ROAD, EXETER, EX4 7ER",,,1B,WYNFORD ROAD,,EXETER
"1C WYNFORD ROAD, EXETER, EX4 7ER",,,1C,WYNFORD ROAD,,EXETER
"1 WYNFORD ROAD, EXETER, EX4 7ER",,,1,WYNFORD ROAD,,EXETER
"2A WYNFORD ROAD, EXETER, EX4 7ER",,,2A,WYNFORD ROAD,,EXETER
"2B WYNFORD ROAD, EXETER, EX4 7ER",,,2B,WYNFORD ROAD,,EXETER
"2C WYNFORD ROAD, EXETER, EX4 7ER",,,2C,WYNFORD ROAD,,EXETER
"2 WYNFORD ROAD, EXETER, EX4 7ER",,,2,WYNFORD ROAD,,EXETER
"3A WYNFORD ROAD, EXETER, EX4 7ER",,,3A,WYNFORD ROAD,,EXETER
"3B WYNFORD ROAD, EXETER, EX4 7ER",,,3B,WYNFORD ROAD,,EXETER
"3C WYNFORD ROAD, EXETER, EX4 7ER",,,3C,WYNFORD ROAD,,EXETER
"3 WYNFORD ROAD, EXETER, EX4 7ER",,,3,WYNFORD ROAD,,EXETER
"4A WYNFORD ROAD, EXETER, EX4 7ER",,,4A,WYNFORD ROAD,,EXETER
"4B WYNFORD ROAD, EXETER, EX4 7ER",,,4B,WYNFORD ROAD,,EXETER
"4C WYNFORD ROAD, EXETER, EX4 7ER",,,4C,WYNFORD ROAD,,EXETER
"4 WYNFORD ROAD, EXETER, EX4 7ER",,,4,WYNFORD ROAD,,EXETER
"5A WYNFORD ROAD, EXETER, EX4 7ER",,,5A,WYNFORD ROAD,,EXETER
"5B WYNFORD ROAD, EXETER, EX4 7ER",,,5B,WYNFORD ROAD,,EXETER
"5C WYNFORD ROAD, EXETER, EX4 7ER",,,5C,WYNFORD ROAD,,EXETER
"5 WYNFORD ROAD, EXETER, EX4 7ER",,,5,WYNFORD ROAD,,EXETER
"6A WYNFORD ROAD, EXETER, EX4 7ER",,,6A,WYNFORD ROAD,,EXETER
"6B WYNFORD ROAD, EXETER, EX4 7ER",,,6B,WYNFORD ROAD,,EXETER
"6C WYNFORD ROAD, EXETER, EX4 7ER",,,6C,WYNFORD ROAD,,EXETER
"6 WYNFORD ROAD, EXETER, EX4 7ER",,,6,WYNFORD ROAD,,EXETER
"7A WYNFORD ROAD, EXETER, EX4 7ER",,,7A,WYNFORD ROAD,,EXETER
"7B WYNFORD ROAD, EXETER, EX4 7ER",,,7B,WYNFORD ROAD,,EXETER
"7C WYNFORD ROAD, EXETER, EX4 7ER",,,7C,WYNFORD ROAD,,EXETER
"7 WYNFORD ROAD, EXETER, EX4 7ER",,,7,WYNFORD ROAD,,EXETER
"8A WYNFORD ROAD, EXETER, EX4 7ER",,,8A,WYNFORD ROAD,,EXETER
"8B WYNFORD ROAD, EXETER, EX4 7ER",,,8B,WYNFORD ROAD,,EXETER
"8C WYNFORD ROAD, EXETER, EX4 7ER",,,8C,WYNFORD ROAD,,EXETER
"8 WYNFORD ROAD, EXETER, EX4 7ER",,,8,WYNFORD ROAD,,EXETER
"9A WYNFORD ROAD, EXETER, EX4 7ES",,,9A,WYNFORD ROAD,,EXETER
"9B WYNFORD ROAD, EXETER, EX4 7ES",,,9B,WYNFORD ROAD,,EXETER
"9C WYNFORD ROAD, EXETER, EX4 7ES",,,9C,WYNFORD ROAD,,EXETER
"9 WYNFORD ROAD, EXETER, EX4 7ES",,,9,WYNFORD ROAD,,EXETER
"10A WYNFORD ROAD, EXETER, EX4 7ES",,,10A,WYNFORD ROAD,,EXETER
"10B WYNFORD ROAD, EXETER, EX4 7ES",,,10B,WYNFORD ROAD,,EXETER
"10C WYNFORD ROAD, EXETER, EX4 7ES",,,10C,WYNFORD ROAD,,EXETER
"10 WYNFORD ROAD, EXETER, EX4 7ES",,,10,WYNFORD ROAD,,EXETER
"11 WYNFORD ROAD, EXETER, EX4 7ES",,,11,WYNFORD ROAD,,EXETER
"12 WYNFORD ROAD, EXETER, EX4 7ES",,,12,WYNFORD ROAD,,EXETER
"13 WYNFORD ROAD, EXETER, EX4 7ES",,,13,WYNFORD ROAD,,EXETER
"14 WYNFORD ROAD, EXETER, EX4 7ES",,,14,WYNFORD ROAD,,EXETER
"15A WYNFORD ROAD, EXETER, EX4 7ES",,,15A,WYNFORD ROAD,,EXETER
"15B WYNFORD ROAD, EXETER, EX4 7ES",,,15B,WYNFORD ROAD,,EXETER
"15C WYNFORD ROAD, EXETER, EX4 7ES",,,15C,WYNFORD ROAD,,EXETER
"15 WYNFORD ROAD, EXETER, EX4 7ES",,,15,WYNFORD ROAD,,EXETER
"16A WYNFORD ROAD, EXETER, EX4 7ES",,,16A,WYNFORD ROAD,,EXETER
"16B WYNFORD ROAD, EXETER, EX4 7ES",,,16B,WYNFORD ROAD,,EXETER
"16C WYNFORD ROAD, EXETER, EX4 7ES",,,16C,WYNFORD ROAD,,EXETER
"16 WYNFORD ROAD, EXETER, EX4 7ES",,,16,WYNFORD ROAD,,EXETER
"17A WYNFORD ROAD, EXETER, EX4 7ES",,,17A,WYNFORD ROAD,,EXETER
"17B WYNFORD ROAD, EXETER, EX4 7ES",,,17B,WYNFORD ROAD,,EXETER
